MSOA11CD,Proportion,Extent,Score,Proportion_Decile,Extent_Decile,Score_Decile
E02000001,0.3333333333333333,0.3666816210557799,14.720484223119485,4,4,4
E02000002,0,0.23539775037267924,34.76755983195555,1,2,9
E02000003,0,0.17741948153967008,25.149725932835818,1,1,7
E02000004,0,0.6134143690008375,23.560044369645045,1,8,7
E02000005,0,0.4112919022645871,30.212965379205887,1,5,8
E02000007,0,0.23054635761589404,36.007463265728475,1,2,9
E02000008,0,0.27841942423229543,34.4495850024426,1,3,9
E02000009,0,0.16503988455525712,36.33654626808835,1,1,9
E02000010,0,0.8241007589924101,34.49335914640853,1,10,9
E02000011,0,0.22082532169797367,25.713968791598877,1,2,7
E02000012,0,0.4948396040755785,20.63216642107202,1,6,6
E02000013,0,0.5253400860491212,36.09122608596511,1,7,9
E02000014,0,0.3874774271924352,36.55000135163235,1,5,9
E02000015,0,0.40270629361172716,39.60161035457348,1,5,9
E02000016,0,0.7368672807511181,33.661131007315696,1,9,9
E02000017,0,0.2457926659848543,27.270586768504998,1,2,8
E02000018,0,0.30254732201067436,36.41188683602772,1,3,9
E02000019,0,0.7347682215236128,32.065294026890015,1,9,9
E02000020,0,0.17396369989410232,33.22273172595296,1,1,9
E02000021,0,0.6433230346721592,31.823478887744592,1,8,8
E02000022,0,0.5627506085014173,38.646125014415865,1,7,9
E02000023,0,0.2794253328061157,39.06830407275603,1,3,9
E02000024,0.6666666666666666,0.6794741664054778,9.191532295006871,5,9,2
E02000025,0,0.5387076509563695,15.932634441805227,1,7,5
E02000026,0.5,0.5413482281049263,10.84753755904312,4,7,3
E02000027,0,0.44871883312690425,22.82809512461523,1,6,7
E02000028,0,0.7890997059868824,12.807654082259054,1,9,4
E02000029,0.2,0.3656449267255845,16.010651527016446,3,4,5
E02000030,0.16666666666666666,0.3229843375194017,13.464058337801609,2,4,4
E02000031,0.6,0.6301357413425813,8.982775245199614,5,8,2
E02000032,0.6,0.7717164133261437,8.4463009985734665,5,9,2
E02000033,0,0.6423692755570485,17.063479789497258,1,8,5
E02000034,0.2,0.3473127951427929,12.823898695749945,3,4,4
E02000035,0.2,0.1638866207861892,13.702045025078736,3,1,4
E02000036,0.16666666666666666,0.3344757188775953,16.323700460429155,2,4,5
E02000037,0.5,0.5611202635914332,11.128158463756177,4,7,3
E02000038,0,0.605191465349374,15.568224800070306,1,8,5
E02000039,0.25,0.541896081580815,10.702963094393187,3,7,3
E02000040,0.25,0.4163876567431545,15.441477714748785,3,5,5
E02000041,0,0.2844917595345258,18.284720521720836,1,3,6
E02000042,0,0.46732663630519616,15.162757182177877,1,6,5
E02000043,0.8,0.7776081424936386,7.517256488549618,6,9,1
E02000044,0,0.21060553432904944,23.627358342016905,1,1,7
E02000045,0.16666666666666666,0.32781514386478827,19.816915232515562,2,4,6
E02000046,0,1,12.421965949332606,1,10,3
E02000047,0,0.25280144991539244,26.343321425604387,1,2,8
E02000048,0.2,0.4446467459855743,12.822080798200139,3,5,4
E02000049,0,0.6011477761836442,35.91760942500828,1,8,9
E02000050,0.16666666666666666,0.4626629422718808,18.30702076350093,2,6,6
E02000051,0.4,0.6121918282548476,10.394447587719299,4,8,3
E02000052,0.6666666666666666,0.7029989403037795,11.881966251198465,5,9,3
E02000053,0,0.199973906111312,20.760394206745787,1,1,6
E02000054,0,0.4215184196400824,16.54641009125067,1,5,5
E02000055,0,0.44674237366649855,15.525799810164813,1,6,5
E02000056,0.6666666666666666,0.9139913800966889,8.09332322357019,5,10,2
E02000057,0,0.6211638913351842,14.00602963341423,1,8,4
E02000058,0.3333333333333333,0.6498316259354794,10.384583465079514,4,8,3
E02000059,0,0.3626684866457877,22.050963226259434,1,4,7
E02000060,0,0.49972365757511183,15.245502361673415,1,6,5
E02000061,0,0.5163199940641076,13.939017152255639,1,7,4
E02000062,0,0.2953775640721967,32.412267776777675,1,3,9
E02000063,0,0.5028692380056444,22.01048084934821,1,6,7
E02000064,0,0.3519264707056672,22.209279016841148,1,4,7
E02000065,0,0.7703827695404556,20.69324370335821,1,9,6
E02000066,0,0.19945194754355058,28.275488745351343,1,1,8
E02000067,0,0.37805992889791773,25.826375825292025,1,4,7
E02000068,0,0.2915252144311317,28.265863918833226,1,3,8
E02000069,0,0.4977403771232663,19.411223468910705,1,6,6
E02000070,0,0.5143685997789089,13.549518928436674,1,7,4
E02000071,0.2,0.2563534725204693,17.870554619636746,3,2,5
E02000072,0,0.17674338715218138,31.57721736516661,1,1,8
